index,alg,sampling_steps,dt,sw
242,GAUSS,50,1.01 +/- 0.03,0.25 +/- 0.05
247,JAC,50,0.91 +/- 0.02,3.17 +/- 1.04
252,Langevin,50,1.81 +/- 0.06,0.03 +/- 0.00
257,GAUSS,150,1.90 +/- 0.07,0.23 +/- 0.05
262,JAC,150,2.69 +/- 0.05,10.96 +/- 7.71
267,Langevin,150,5.42 +/- 0.18,0.04 +/- 0.00
272,GAUSS,400,4.02 +/- 0.15,0.21 +/- 0.05
277,JAC,400,7.35 +/- 0.15,29.39 +/- 26.25
282,Langevin,400,14.55 +/- 0.51,0.05 +/- 0.00
287,GAUSS,1000,9.13 +/- 0.36,0.17 +/- 0.05
292,JAC,1000,18.25 +/- 0.34,2.07 +/- 1.44
297,Langevin,1000,35.67 +/- 0.63,0.05 +/- 0.00
